key,state,action,q_value
1,0,0,0.0
1,0,1,0.7628818491322108
1,0,2,0.0
1,0,3,0.0
1,1,0,-0.19
1,1,1,0.5895982316928491
1,1,2,-0.95
1,1,3,-0.19
1,2,0,-0.19
1,2,1,0.43857171489603397
1,2,2,-0.17683348865830678
1,2,3,-0.19
1,3,0,-0.76
1,3,1,0.32411057922254927
1,3,2,-0.95
1,3,3,-0.378556
1,4,0,-0.76
1,4,1,0.2541355592949953
1,4,2,0.0
1,4,3,-0.155344
1,5,0,-0.76
1,5,1,0.0
1,5,2,0.2108963763536576
1,5,3,0.0
1,6,0,0.0
1,6,1,0.0
1,6,2,0.0
1,6,3,0.0
1,7,0,0.0
1,7,1,0.0
1,7,2,0.0
1,7,3,0.0
1,8,0,0.0
1,8,1,0.0
1,8,2,0.0
1,8,3,0.0
1,9,0,0.3376559870406683
1,9,1,0.0
1,9,2,0.0
1,9,3,-0.76
1,10,0,0.0
1,10,1,0.0
1,10,2,0.0
1,10,3,0.0
1,11,0,-0.6622691240086969
1,11,1,-0.95
1,11,2,-0.95
1,11,3,-0.95
1,12,0,0.0
1,12,1,0.0
1,12,2,0.0
1,12,3,0.0
1,13,0,0.014057925379627252
1,13,1,0.0
1,13,2,0.0
1,13,3,0.0
1,14,0,0.0
1,14,1,0.16826369696509885
1,14,2,0.0
1,14,3,0.0
1,15,0,0.0
1,15,1,0.0
1,15,2,0.11002793790625925
1,15,3,-0.19
1,16,0,0.0
1,16,1,0.0
1,16,2,0.0
1,16,3,0.0
1,17,0,0.0
1,17,1,0.0
1,17,2,0.0
1,17,3,0.0
1,18,0,-0.03833385355285812
1,18,1,-0.19
1,18,2,-0.19
1,18,3,-0.19
1,19,0,-0.95
1,19,1,-0.95
1,19,2,-0.378556
1,19,3,-0.26878443748204417
1,20,0,0.0
1,20,1,0.0
1,20,2,0.0
1,20,3,0.0
1,21,0,-0.95
1,21,1,-0.5240435266223291
1,21,2,-0.95
1,21,3,-0.95
1,22,0,-0.20336790575874708
1,22,1,-0.19
1,22,2,-0.08361121000000005
1,22,3,-0.12039666117193915
1,23,0,-0.06141531727939278
1,23,1,0.0
1,23,2,0.0
1,23,3,-0.054250369664609666
1,24,0,0.0
1,24,1,0.0
1,24,2,0.03716948205451703
1,24,3,0.0
1,25,0,0.0
1,25,1,0.0
1,25,2,0.0
1,25,3,0.0
1,26,0,0.0
1,26,1,0.0
1,26,2,0.0
1,26,3,0.0
1,27,0,-0.06052510959672125
1,27,1,-0.1912558573076992
1,27,2,-0.22289673743069738
1,27,3,-0.19
1,28,0,0.04502906751478658
1,28,1,-0.19
1,28,2,-0.08797315187200001
1,28,3,-0.19683285522017918
1,29,0,-0.95
