key,state,action,q_value
1,0,0,-0.19
1,0,1,0.0
1,0,2,8.61244827044095
1,0,3,-0.19
1,1,0,-0.76
1,1,1,-0.19
1,1,2,-0.19
1,1,3,2.9933673526449307
1,2,0,-0.19
1,2,1,-0.95
1,2,2,-0.19
1,2,3,0.3264155808620678
1,3,0,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,4,0,-0.378556
1,4,1,-0.4039478254240706
1,4,2,-0.4613059593721971
1,4,3,-0.95
1,5,0,-0.76
1,5,1,-0.4573598341787769
1,5,2,-0.95
1,5,3,-0.500911523247276
1,6,0,-0.5656789744
1,6,1,-0.6353793288677985
1,6,2,-0.3115628766081828
1,6,3,-0.564587247066617
1,7,0,-1.514224
1,7,1,-0.8561662888552428
1,7,2,-0.95
1,7,3,-0.5564708383050703
1,8,0,-0.9485560000000002
1,8,1,-0.8831563614232317
1,8,2,-1.0295561775246838
1,8,3,-0.6635380986131995
1,9,0,-1.32137981419456
1,9,1,-0.7602721637521143
1,9,2,-0.6870534307475271
1,9,3,-0.6879231329738479
1,10,0,-0.9485560000000002
1,10,1,-0.6829787400289484
1,10,2,-0.40936960194394123
1,10,3,-0.8169539095299181
1,11,0,-1.32137981419456
1,11,1,-0.6688424165911113
1,11,2,-0.95
1,11,3,-0.10452925885596742
1,12,0,-1.1356789744
1,12,1,-0.7083816551725417
1,12,2,-0.6831116089115326
1,12,3,-0.11095160781543906
1,13,0,-0.76
1,13,1,-0.49944091952321323
1,13,2,-0.95
1,13,3,-0.13243107654911027
1,14,0,-0.76
1,14,1,-0.76
1,14,2,-0.3538288159241154
1,14,3,-0.057927033672659306
1,15,0,-0.19
1,15,1,-0.11838427195125342
1,15,2,8.512463818424514
1,15,3,-0.19
1,16,0,0.49234637568379797
1,16,1,-0.34416338560000004
1,16,2,-0.3221845584355634
1,16,3,-0.19
1,17,0,-0.23050264450920938
1,17,1,-0.17826374560000002
1,17,2,-0.19
1,17,3,0.0913409287937536
1,18,0,-0.95
1,18,1,-0.378556
1,18,2,-0.2899210497665923
1,18,3,-0.058538141908825864
1,19,0,-0.340927631331934
1,19,1,-0.95
1,19,2,-0.4486043106424638
1,19,3,-0.41334092227857105
1,20,0,0.0
1,20,1,0.0
1,20,2,0.0
1,20,3,0.0
1,21,0,-1.0553844821598461
1,21,1,-0.95
1,21,2,-0.26649409869220575
1,21,3,-0.95
1,22,0,0.0
1,22,1,0.0
1,22,2,0.0
1,22,3,0.0
1,23,0,-0.9355484674262735
1,23,1,-1.248240839570756
1,23,2,-1.7195
1,23,3,-1.7195
1,24,0,-0.85460774254795
1,24,1,-0.9758159386303457
1,24,2,-0.95
1,24,3,-1.0672802642615986
1,25,0,-1.134030482384001
1,25,1,-1.7195
1,25,2,-1.7195
1,25,3,-0.76492927306652
1,26,0,0.0
1,26,1,0.0
1,26,2,0.0
1,26,3,0.0
1,27,0,-0.999846760618913
1,27,1,-0.95
1,27,2,-0.9254976201493141
1,27,3,-0.95
1,28,0,0.0
1,28,1,0.0
1,28,2,0.0
1,28,3,0.0
1,29,0,-0.06677576155973941
1,29,1,-0.76
1,29,2,-0.32316673950432795
1,29,3,-0.95
1,30,0,-0.389237000329369
1,30,1,-0.3439
1,30,2,8.381035239230922
1,30,3,-0.76
1,31,0,-0.19
1,31,1,-0.31582864
1,31,2,-0.20583599628466584
1,31,3,-0.1580564838544806
1,32,0,-0.23955509147249446
1,32,1,-0.13322525011913025
1,32,2,-0.155344
1,32,3,-0.19
1,33,0,-0.378556
1,33,1,-0.3752094379115941
1,33,2,-0.15595128648114082
1,33,3,-0.28101497061951036
1,34,0,-0.36352023680866585
1,34,1,-0.3170419817890201
1,34,2,-0.40260002157641006
1,34,3,-0.3476674251651515
1,35,0,-0.95
1,35,1,-0.5422128720992354
1,35,2,-0.55130444257106
1,35,3,-0.5543067932316357
1,36,0,-0.46904831326956753
1,36,1,-0.15700199294641118
1,36,2,-0.5548487026908939
1,36,3,-0.5699463331943933
1,37,0,-0.95
1,37,1,-0.95
1,37,2,-0.17290719847442793
1,37,3,-0.7578782220141386
1,38,0,0.0
1,38,1,0.0
1,38,2,0.0
1,38,3,0.0
1,39,0,0.0
1,39,1,0.0
1,39,2,0.0
1,39,3,0.0
1,40,0,0.0
1,40,1,0.0
1,40,2,0.0
1,40,3,0.0
1,41,0,-0.95
1,41,1,-0.21355794167703818
1,41,2,-0.3277966392749624
1,41,3,-0.95
1,42,0,-0.4666194344857141
1,42,1,-0.39602894620758056
1,42,2,-0.28575115055166617
1,42,3,-0.41484726245764847
1,43,0,-0.95
1,43,1,-0.4385078400641623
1,43,2,-0.95
1,43,3,-0.42498129762737524
1,44,0,0.01376979011878915
1,44,1,-0.76
1,44,2,-0.34416338560000004
1,44,3,-0.26745837802409994
1,45,0,-0.28947618771631434
1,45,1,-0.22815484957597626
1,45,2,8.22016782934361
1,45,3,-0.9485560000000002
1,46,0,-0.2761603218909122
1,46,1,-0.19806390548652206
1,46,2,-0.19
1,46,3,-0.33929910571009425
1,47,0,-0.14589132064159122
1,47,1,-0.1914330256
1,47,2,0.3840836203073816
1,47,3,-0.19
1,48,0,-0.2775180865924506
1,48,1,-0.1784163386212768
1,48,2,-0.19
1,48,3,0.12063088841438974
1,49,0,-0.22582564
1,49,1,-0.3640066087640105
1,49,2,-0.3638841611325162
1,49,3,-0.21890693397879532
1,50,0,-0.5772175973386156
1,50,1,-0.5689751228234629
1,50,2,-0.4275788235654864
1,50,3,-0.39756819569085033
1,51,0,-0.4949891978675537
1,51,1,-0.4994384803487854
1,51,2,-0.3842734481504756
1,51,3,-0.5394005367984237
1,52,0,-0.4656766684714849
1,52,1,-0.95
1,52,2,-0.44917163087169687
1,52,3,-0.4109833484161517
1,53,0,0.0
1,53,1,0.0
1,53,2,0.0
1,53,3,0.0
1,54,0,0.0
1,54,1,0.0
1,54,2,0.0
1,54,3,0.0
1,55,0,0.0
1,55,1,0.0
1,55,2,-0.03609999999999999
1,55,3,0.0
1,56,0,-0.06512462251775791
1,56,1,-0.07262313917013305
1,56,2,-0.1387650445753188
1,56,3,-0.0014440000000000008
1,57,0,-0.22217204083016237
1,57,1,-0.95
1,57,2,0.12243005359530212
1,57,3,-0.1628348944
1,58,0,0.0
1,58,1,0.0
1,58,2,0.0
1,58,3,0.0
