game,step,done,state,action,next_state,reward
0,0,False,0,1,1,1
0,1,True,1,2,10,-5
1,0,False,0,1,1,1
1,1,False,1,3,1,-1
1,2,False,1,0,1,-1
1,3,False,1,1,2,1
1,4,False,2,3,2,-1
1,5,False,2,0,2,-1
1,6,False,2,2,11,1
1,7,False,11,0,11,-1
1,8,True,11,3,10,-5
2,0,False,0,1,1,1
2,1,False,1,1,2,1
2,2,False,2,2,11,1
2,3,True,11,2,20,-5
3,0,False,0,1,1,1
3,1,False,1,1,2,1
3,2,False,2,2,11,1
3,3,True,11,1,12,-5
4,0,False,0,1,1,1
4,1,False,1,1,2,1
4,2,False,2,2,11,1
4,3,False,11,0,11,-1
4,4,False,11,0,2,-1
4,5,False,2,2,2,-1
4,6,False,2,2,11,-1
4,7,False,11,0,11,-1
4,8,False,11,0,2,-1
4,9,False,2,2,2,-1
4,10,False,2,1,3,1
4,11,False,3,3,3,-1
4,12,True,3,2,12,-5
5,0,False,0,1,1,1
5,1,False,1,1,2,1
5,2,False,2,1,3,1
5,3,False,3,0,3,-4
5,4,False,3,1,4,1
5,5,False,4,0,4,-4
5,6,False,4,3,3,-1
5,7,False,3,1,3,-1
5,8,False,3,1,4,-1
5,9,False,4,1,5,1
5,10,False,5,0,5,-4
5,11,False,5,2,14,1
5,12,False,14,1,15,1
5,13,False,15,3,15,-1
5,14,False,15,2,24,1
5,15,False,24,2,33,1
5,16,False,33,0,33,-1
5,17,False,33,2,42,1
5,18,False,42,1,43,1
5,19,False,43,2,52,1
5,20,False,52,2,61,1
5,21,False,61,0,61,-1
5,22,False,61,3,60,1
5,23,True,60,2,69,-5
6,0,False,0,1,1,1
6,1,False,1,1,2,1
6,2,False,2,1,3,1
6,3,False,3,3,3,-1
6,4,False,3,1,4,1
6,5,False,4,1,5,1
6,6,False,5,2,14,1
6,7,False,14,1,15,1
6,8,False,15,2,24,1
6,9,False,24,2,33,1
6,10,False,33,2,42,1
6,11,False,42,1,43,1
6,12,False,43,2,52,1
6,13,False,52,2,61,1
6,14,False,61,3,60,1
6,15,False,60,0,51,1
6,16,False,51,3,50,1
6,17,False,50,0,41,1
6,18,False,41,0,32,1
6,19,False,32,2,32,-1
6,20,False,32,0,23,1
6,21,False,23,3,22,1
6,22,False,22,3,21,1
6,23,True,21,3,20,-5
7,0,False,0,1,1,1
7,1,False,1,1,2,1
7,2,False,2,1,3,1
7,3,False,3,1,4,1
7,4,False,4,1,5,1
7,5,False,5,2,14,1
7,6,False,14,1,15,1
7,7,False,15,2,24,1
7,8,False,24,2,33,1
7,9,False,33,2,42,1
7,10,False,42,1,43,1
7,11,False,43,2,52,1
7,12,False,52,2,61,1
7,13,False,61,3,60,1
7,14,False,60,0,51,1
7,15,False,51,3,50,1
7,16,False,50,0,41,1
7,17,False,41,0,32,1
7,18,False,32,0,23,1
7,19,False,23,3,22,1
7,20,False,22,3,21,1
7,21,True,21,0,12,-5
8,0,False,0,1,1,1
8,1,False,1,1,2,1
8,2,False,2,1,3,1
8,3,False,3,1,4,1
8,4,False,4,1,5,1
8,5,False,5,2,14,1
8,6,False,14,1,15,1
8,7,False,15,2,24,1
8,8,False,24,2,33,1
8,9,False,33,2,42,1
8,10,False,42,1,43,1
8,11,False,43,2,52,1
8,12,False,52,2,61,1
8,13,False,61,3,60,1
8,14,False,60,0,51,1
8,15,False,51,3,50,1
8,16,False,50,0,41,1
8,17,False,41,0,32,1
8,18,False,32,0,23,1
8,19,False,23,3,22,1
8,20,False,22,3,21,1
8,21,True,21,2,30,-5
9,0,False,0,1,1,1
9,1,False,1,1,2,1
9,2,False,2,1,3,1
9,3,False,3,1,4,1
9,4,False,4,1,5,1
9,5,False,5,2,14,1
9,6,False,14,1,15,1
9,7,False,15,2,24,1
9,8,False,24,2,33,1
9,9,False,33,2,42,1
9,10,False,42,1,43,1
9,11,False,43,2,52,1
9,12,False,52,2,61,1
9,13,False,61,3,60,1
9,14,False,60,0,51,1
9,15,False,51,3,50,1
9,16,False,50,0,41,1
9,17,False,41,0,32,1
9,18,False,32,0,23,1
9,19,False,23,3,22,1
9,20,False,22,3,21,1
9,21,False,21,1,21,-1
9,22,False,21,1,22,-1
9,23,False,22,3,22,-1
9,24,False,22,3,21,-1
9,25,False,21,1,21,-1
9,26,False,21,1,22,-1
9,27,False,22,3,22,-1
9,28,False,22,2,31,1
9,29,False,31,0,31,-1
9,30,True,31,3,30,-5
10,0,False,0,1,1,1
10,1,False,1,1,2,1
10,2,False,2,1,3,1
10,3,False,3,1,4,1
10,4,False,4,1,5,1
10,5,False,5,2,14,1
10,6,False,14,1,15,1
10,7,False,15,2,24,1
10,8,False,24,2,33,1
10,9,False,33,2,42,1
10,10,False,42,1,43,1
10,11,False,43,2,52,1
10,12,False,52,2,61,1
10,13,False,61,3,60,1
10,14,False,60,0,51,1
10,15,False,51,3,50,1
10,16,False,50,0,41,1
10,17,False,41,0,32,1
10,18,False,32,0,23,1
10,19,False,23,3,22,1
10,20,False,22,2,31,1
10,21,False,31,1,32,-1
10,22,False,32,0,23,-1
10,23,False,23,3,22,-1
10,24,False,22,2,31,-1
10,25,False,31,2,40,1
10,26,False,40,1,41,-1
10,27,False,41,0,32,-1
10,28,False,32,0,23,-1
10,29,False,23,3,22,-1
10,30,False,22,2,31,-1
10,31,False,31,2,40,-1
10,32,True,40,3,39,-5
11,0,False,0,1,1,1
11,1,False,1,1,2,1
11,2,False,2,1,3,1
11,3,False,3,1,4,1
11,4,False,4,1,5,1
11,5,False,5,2,14,1
11,6,False,14,1,15,1
11,7,False,15,2,24,1
11,8,False,24,2,33,1
11,9,False,33,2,42,1
11,10,False,42,1,43,1
11,11,False,43,2,52,1
11,12,False,52,2,61,1
11,13,False,61,3,60,1
11,14,False,60,0,51,1
11,15,False,51,3,50,1
11,16,False,50,0,41,1
11,17,False,41,0,32,1
11,18,False,32,0,23,1
11,19,False,23,3,22,1
11,20,False,22,0,13,1
11,21,False,13,0,4,-1
11,22,False,4,1,5,-1
11,23,False,5,2,14,-1
11,24,False,14,1,15,-1
11,25,False,15,2,24,-1
11,26,False,24,2,33,-1
11,27,False,33,2,42,-1
11,28,False,42,1,43,-1
11,29,False,43,2,52,-1
11,30,False,52,2,61,-1
11,31,False,61,3,60,-1
11,32,False,60,0,51,-1
11,33,False,51,3,50,-1
11,34,False,50,0,41,-1
11,35,False,41,0,32,-1
11,36,False,32,0,23,-1
11,37,False,23,3,22,-1
11,38,False,22,0,13,-1
11,39,False,13,0,4,-1
11,40,False,4,1,5,-1
11,41,False,5,2,14,-1
11,42,False,14,1,15,-1
11,43,False,15,2,24,-1
11,44,False,24,2,33,-1
11,45,False,33,2,42,-1
11,46,False,42,1,43,-1
11,47,False,43,2,52,-1
11,48,False,52,2,61,-1
11,49,False,61,3,60,-1
11,50,False,60,0,51,-1
11,51,False,51,3,50,-1
11,52,False,50,0,41,-1
11,53,False,41,0,32,-1
11,54,False,32,0,23,-1
11,55,False,23,3,22,-1
11,56,False,22,1,22,-1
11,57,False,22,0,13,-1
11,58,False,13,0,4,-1
11,59,False,4,1,5,-1
11,60,False,5,2,14,-1
11,61,False,14,1,15,-1
11,62,False,15,2,24,-1
11,63,False,24,2,33,-1
11,64,False,33,2,42,-1
11,65,False,42,1,43,-1
11,66,False,43,2,52,-1
11,67,False,52,2,61,-1
11,68,False,61,3,60,-1
11,69,False,60,0,51,-1
11,70,False,51,3,50,-1
11,71,False,50,0,41,-1
11,72,False,41,0,32,-1
11,73,False,32,0,23,-1
11,74,False,23,0,14,-1
11,75,False,14,1,15,-1
11,76,False,15,2,24,-1
11,77,False,24,2,33,-1
11,78,False,33,2,42,-1
11,79,False,42,1,43,-1
11,80,False,43,2,52,-1
11,81,False,52,2,61,-1
11,82,False,61,3,60,-1
11,83,False,60,0,51,-1
11,84,False,51,3,50,-1
11,85,False,50,0,41,-1
11,86,False,41,0,32,-1
11,87,False,32,3,31,1
11,88,False,31,1,31,-1
11,89,False,31,2,40,1
11,90,False,40,0,40,-1
11,91,False,40,2,49,1
11,92,False,49,3,48,1
11,93,False,48,3,47,1
11,94,False,47,3,46,1
11,95,False,46,0,37,1
11,96,False,37,1,38,1
11,97,False,38,0,29,1
11,98,True,29,0,20,-5
12,0,False,0,1,1,1
12,1,False,1,1,2,1
12,2,False,2,1,3,1
12,3,False,3,1,4,1
12,4,False,4,1,5,1
12,5,False,5,2,14,1
12,6,False,14,1,15,1
12,7,False,15,2,24,1
12,8,False,24,2,33,1
12,9,False,33,2,42,1
12,10,False,42,1,43,1
12,11,False,43,2,52,1
12,12,False,52,2,61,1
12,13,False,61,3,60,1
12,14,False,60,0,51,1
12,15,False,51,3,50,1
12,16,False,50,0,41,1
12,17,False,41,2,41,-1
12,18,False,41,1,42,-1
12,19,False,42,1,43,-1
12,20,False,43,2,52,-1
12,21,False,52,2,61,-1
12,22,False,61,3,60,-1
12,23,False,60,0,51,-1
12,24,False,51,3,50,-1
12,25,False,50,0,41,-1
