key,state,action,q_value
1,0,0,-0.19
1,0,1,13.654763544538788
1,0,2,0.0
1,0,3,-0.19
1,1,0,0.0
1,1,1,0.0
1,1,2,13.467026446159634
1,1,3,0.0
1,2,0,0.0
1,2,1,-0.19
1,2,2,-0.03609999999999999
1,2,3,0.3213052947605921
1,3,0,-0.19
1,3,1,-0.19
1,3,2,-0.02856708519999998
1,3,3,0.3760101196793688
1,4,0,-0.76
1,4,1,-0.13310879321073935
1,4,2,-0.012111116800000016
1,4,3,0.37382528935489123
1,5,0,-0.378556
1,5,1,-0.414109365136
1,5,2,-0.4018438826741952
1,5,3,-0.3791915592995299
1,6,0,-0.19
1,6,1,-0.95
1,6,2,-0.155344
1,6,3,-0.14907721780258848
1,7,0,0.0
1,7,1,0.0
1,7,2,0.0
1,7,3,0.0
1,8,0,0.0
1,8,1,-0.0014440000000000008
1,8,2,-0.10576778914312429
1,8,3,0.0
1,9,0,-0.76
1,9,1,-0.95
1,9,2,0.0
1,9,3,-0.03672737762750439
1,10,0,0.0
1,10,1,0.0
1,10,2,0.0
1,10,3,0.0
1,11,0,-0.9485560000000002
1,11,1,-0.06189348833933167
1,11,2,-0.5037202090291922
1,11,3,-0.95
1,12,0,-0.76
1,12,1,0.23897922221823997
1,12,2,-0.15728515187199998
1,12,3,-0.26358489626442894
1,13,0,-0.19
1,13,1,-0.19
1,13,2,0.293424697888
1,13,3,-0.20979524242816003
1,14,0,-0.19
1,14,1,-0.0014440000000000008
1,14,2,-0.19
1,14,3,-0.03609999999999999
1,15,0,-0.76
1,15,1,0.0
1,15,2,0.0
1,15,3,-0.155344
1,16,0,0.0
1,16,1,0.0
1,16,2,0.0
1,16,3,0.0
1,17,0,0.0
1,17,1,0.0
1,17,2,12.859013275254068
1,17,3,0.0
1,18,0,0.0
1,18,1,0.0
1,18,2,-0.0057321858054399655
1,18,3,13.205057245912014
1,19,0,-0.19
1,19,1,-0.155344
1,19,2,-0.15613215506944
1,19,3,-0.1209513856
1,20,0,-0.0014440000000000008
1,20,1,-0.08361121000000005
1,20,2,-0.19
1,20,3,-0.19
1,21,0,0.1256681332447636
1,21,1,-0.283723456804
1,21,2,-0.95
1,21,3,-0.19
1,22,0,-0.37950340839999996
1,22,1,-0.522535621910407
1,22,2,-0.95
1,22,3,-0.13385643670399996
1,23,0,-0.025504415888346038
1,23,1,-0.19
1,23,2,-0.09729891187647999
1,23,3,0.1277113581494778
1,24,0,-0.95
1,24,1,-0.19
1,24,2,-0.19658464
1,24,3,-0.15177393833904723
1,25,0,-0.1914330256
1,25,1,-0.19
1,25,2,-0.1209513856
1,25,3,-0.22833511477295657
1,26,0,-0.015487363855870573
1,26,1,-0.0014440000000000008
1,26,2,0.0
1,26,3,-0.03609999999999999
1,27,0,-0.95
1,27,1,8.809841795426818
1,27,2,-0.19
1,27,3,-0.018308016942992306
1,28,0,-0.17362344849077924
1,28,1,-0.04189640090188965
1,28,2,8.700582870954436
1,28,3,-0.19
1,29,0,-0.012005398671999984
1,29,1,-0.060873408399999995
1,29,2,-0.155344
1,29,3,-0.19
1,30,0,-0.1902633856
1,30,1,-0.067721434
1,30,2,0.36694147480000006
1,30,3,-0.19
1,31,0,-0.0014440000000000008
1,31,1,-0.95
1,31,2,0.0
1,31,3,-0.167525584
1,32,0,0.0
1,32,1,0.0
1,32,2,0.0
1,32,3,0.0
1,33,0,-0.95
1,33,1,-0.9485560000000002
1,33,2,-0.8224754422296755
1,33,3,-0.95
1,34,0,0.0
1,34,1,0.0
1,34,2,12.434034999629747
1,34,3,0.0
1,35,0,-0.15613215506944
1,35,1,-0.0057321858054399655
1,35,2,0.0
1,35,3,0.0
1,36,0,0.0
1,36,1,0.0
1,36,2,-0.006885182607999973
1,36,3,-0.15613215506944
1,37,0,-0.03609999999999999
1,37,1,-0.95
1,37,2,-0.19
1,37,3,-0.19
1,38,0,0.0
1,38,1,0.0
1,38,2,0.0
1,38,3,0.0
1,39,0,0.0
1,39,1,0.0
1,39,2,0.0
1,39,3,0.0
1,40,0,-0.19
1,40,1,-0.22000840080400003
1,40,2,-0.19
1,40,3,-0.95
1,41,0,-0.14155788206498002
1,41,1,-0.07711805570141025
1,41,2,-0.06164789340003189
1,41,3,-0.19
1,42,0,0.0
1,42,1,9.266554112017527
1,42,2,-0.19
1,42,3,0.0
1,43,0,-0.0014440000000000008
1,43,1,-0.155344
1,43,2,9.127499711772396
1,43,3,0.0
1,44,0,8.902032534134031
1,44,1,-0.19
1,44,2,-0.1914330256
1,44,3,-0.155344
1,45,0,-0.19
1,45,1,8.585430673511638
1,45,2,-0.03609999999999999
1,45,3,-0.03609999999999999
1,46,0,-0.16872662233600003
1,46,1,0.0
1,46,2,8.478119880005458
1,46,3,-0.0014440000000000008
1,47,0,-0.19
1,47,1,-0.95
1,47,2,-0.19
1,47,3,0.35487079
1,48,0,0.0
1,48,1,0.0
1,48,2,0.0
1,48,3,0.0
1,49,0,-0.95
1,49,1,-0.17948968240890611
1,49,2,-0.19
1,49,3,-0.95
1,50,0,-0.3279022024046391
1,50,1,-0.76
1,50,2,-0.2949135563707433
1,50,3,-0.378556
1,51,0,0.0
1,51,1,0.0
1,51,2,11.95700187237767
1,51,3,0.0
1,52,0,0.0
1,52,1,0.0
1,52,2,0.0
1,52,3,0.0
1,53,0,0.0
1,53,1,-0.02224583079999995
1,53,2,0.0
1,53,3,0.0
1,54,0,-0.09019585000000002
1,54,1,0.0
1,54,2,0.0
1,54,3,0.0
1,55,0,0.0
1,55,1,0.0
1,55,2,0.0
1,55,3,0.0
1,56,0,0.0
1,56,1,0.0
1,56,2,0.0
1,56,3,0.0
1,57,0,-0.0014440000000000008
1,57,1,9.754236776097025
1,57,2,0.0
1,57,3,0.0
1,58,0,-0.19
1,58,1,9.613039625413299
1,58,2,0.0
1,58,3,-0.155344
1,59,0,9.440954552315286
1,59,1,-0.0014440000000000008
1,59,2,0.0
1,59,3,-0.19
1,60,0,-0.03609999999999999
1,60,1,9.037456841581117
1,60,2,0.0
1,60,3,0.0
1,61,0,8.973287846490507
1,61,1,0.0
1,61,2,-0.0014440000000000008
1,61,3,0.0
1,62,0,-0.19
1,62,1,0.0
1,62,2,8.310775914188378
1,62,3,-0.08492159716412796
1,63,0,0.0
1,63,1,0.0
1,63,2,0.0
1,63,3,8.387025262339693
1,64,0,-0.19
1,64,1,8.021322694626994
1,64,2,-0.19
1,64,3,-0.1490227456
1,65,0,-0.95
1,65,1,7.939417468359067
1,65,2,-0.21254045320722617
1,65,3,-0.19
1,66,0,-0.041744249491968255
1,66,1,-0.2357513656980076
1,66,2,7.850425108230851
1,66,3,-0.19
1,67,0,-0.378556
1,67,1,-0.76
1,67,2,0.0212704744656112
1,67,3,-0.3865249836605409
1,68,0,0.0
1,68,1,11.475928956438048
1,68,2,0.0
1,68,3,0.0
1,69,0,0.0
1,69,1,11.04767900957728
1,69,2,0.0
1,69,3,-0.19
1,70,0,0.0
1,70,1,10.716747816776667
1,70,2,0.0
1,70,3,0.0
1,71,0,0.0
1,71,1,0.0
1,71,2,10.49680067749038
1,71,3,-0.19
1,72,0,0.0
1,72,1,0.0
1,72,2,0.0
1,72,3,0.0
1,73,0,0.0
1,73,1,0.0
1,73,2,0.0
1,73,3,0.0
1,74,0,9.859944120029928
1,74,1,0.0
1,74,2,0.0
1,74,3,0.0
1,75,0,0.0
1,75,1,0.0
1,75,2,0.0
1,75,3,0.0
1,76,0,-0.155344
1,76,1,0.0
1,76,2,0.19
1,76,3,0.0
1,77,0,0.0
1,77,1,0.0
1,77,2,0.0
1,77,3,-0.03609999999999999
1,78,0,2.663172717930335
1,78,1,0.0
1,78,2,0.0
1,78,3,-0.0014440000000000008
1,79,0,0.0
1,79,1,8.241517073272542
1,79,2,0.0
1,79,3,0.0
1,80,0,0.0
1,80,1,8.171893986293968
1,80,2,0.0
1,80,3,0.0
1,81,0,8.09865899267868
1,81,1,0.0
1,81,2,0.0
1,81,3,-0.19
1,82,0,-0.13566329732716545
1,82,1,-0.19
1,82,2,-0.95
1,82,3,-0.22126752946969946
1,83,0,-0.19
1,83,1,7.747778198255521
1,83,2,-0.19
1,83,3,-0.2950339578285294
1,84,0,-0.19
1,84,1,-0.19
1,84,2,7.61923189290118
1,84,3,-0.1295408752
1,85,0,0.0
1,85,1,0.0
1,85,2,0.0
1,85,3,0.0
1,86,0,0.0
1,86,1,0.0
1,86,2,0.0
1,86,3,0.0
1,87,0,0.0
1,87,1,-0.19
1,87,2,10.293739564474148
1,87,3,-0.95
1,88,0,0.0
1,88,1,0.0
1,88,2,0.0
1,88,3,10.368201106171973
1,89,0,0.0
1,89,1,10.072469497275266
1,89,2,0.0
1,89,3,0.0
1,90,0,0.0
1,90,1,10.009399630241665
1,90,2,0.0
1,90,3,0.0
1,91,0,9.940911261579316
1,91,1,0.0
1,91,2,0.0
1,91,3,0.0
1,92,0,0.0
1,92,1,0.0
1,92,2,0.0
1,92,3,0.0
1,93,0,0.0
1,93,1,0.0
1,93,2,0.19
1,93,3,0.0
1,94,0,0.0
1,94,1,0.0
1,94,2,0.0
1,94,3,0.0
1,95,0,0.6048925975986413
1,95,1,0.0
1,95,2,0.0
1,95,3,0.0
1,96,0,0.0
1,96,1,0.0
1,96,2,0.0
1,96,3,0.0
1,97,0,1.535709796124852
1,97,1,0.0
1,97,2,0.0
1,97,3,0.0
1,98,0,0.0
1,98,1,0.0
1,98,2,0.0
1,98,3,0.0
1,99,0,0.0
