game,step,done,state,action,next_state,reward
0,0,False,0,2,7,1
0,1,False,7,2,14,1
0,2,False,14,3,14,-4
0,3,True,14,2,21,-5
1,0,False,0,2,7,1
1,1,False,7,2,14,1
1,2,False,14,3,14,-4
1,3,True,14,2,21,-5
2,0,False,0,3,0,-1
2,1,False,0,2,7,1
2,2,False,7,1,8,1
2,3,False,8,1,9,1
2,4,False,9,0,2,1
2,5,False,2,1,3,1
2,6,False,3,0,3,-4
2,7,False,3,1,4,1
2,8,False,4,3,4,-1
2,9,False,4,1,5,1
2,10,False,5,3,5,-1
2,11,False,5,1,6,1
2,12,False,6,0,6,-4
2,13,False,6,1,6,-1
2,14,False,6,1,6,-1
2,15,False,6,1,6,-1
2,16,False,6,0,6,-1
2,17,False,6,0,6,-1
2,18,False,6,0,6,-1
2,19,False,6,3,5,-1
2,20,False,5,2,12,1
2,21,False,12,2,19,1
2,22,True,19,2,26,-5
3,0,False,0,2,7,1
3,1,False,7,1,8,1
3,2,False,8,3,8,-1
3,3,False,8,0,1,1
3,4,False,1,0,1,-4
3,5,False,1,0,1,-1
3,6,False,1,3,0,-1
3,7,False,0,2,7,-1
3,8,False,7,1,8,-1
3,9,False,8,3,8,-1
3,10,False,8,3,7,-1
3,11,False,7,0,0,-1
3,12,False,0,1,1,-1
3,13,False,1,2,8,-1
3,14,False,8,1,9,1
3,15,False,9,0,2,1
3,16,False,2,1,3,1
3,17,False,3,0,3,-4
3,18,False,3,2,10,1
3,19,False,10,2,17,1
3,20,False,17,3,16,1
3,21,False,16,2,23,1
3,22,False,23,3,22,1
3,23,False,22,1,22,-1
3,24,True,22,3,21,-5
4,0,False,0,3,0,-1
4,1,False,0,2,7,1
4,2,False,7,1,8,1
4,3,False,8,3,8,-1
4,4,False,8,0,1,1
4,5,False,1,0,1,-4
4,6,False,1,3,0,-1
4,7,False,0,3,0,-1
4,8,False,0,1,1,-1
4,9,False,1,3,1,-1
4,10,False,1,1,2,1
4,11,False,2,1,3,1
4,12,False,3,0,3,-4
4,13,False,3,2,10,1
4,14,False,10,0,10,-1
4,15,False,10,2,17,1
4,16,False,17,0,17,-1
4,17,False,17,0,10,-1
4,18,False,10,0,3,-1
4,19,False,3,2,3,-1
4,20,False,3,3,2,-1
4,21,False,2,1,2,-1
4,22,False,2,2,9,1
4,23,False,9,1,10,-1
4,24,False,10,0,3,-1
4,25,False,3,0,3,-1
4,26,False,3,2,10,-1
4,27,False,10,0,10,-1
4,28,True,10,1,11,-5
5,0,False,0,3,0,-1
5,1,False,0,3,0,-1
5,2,False,0,0,0,-1
5,3,False,0,1,1,1
5,4,False,1,1,2,1
5,5,False,2,3,2,-1
5,6,False,2,3,1,-1
5,7,False,1,2,8,1
5,8,False,8,1,9,1
5,9,False,9,2,16,1
5,10,False,16,0,16,-1
5,11,False,16,2,23,1
5,12,False,23,2,30,1
5,13,False,30,3,29,1
5,14,False,29,1,29,-1
5,15,False,29,2,36,1
5,16,False,36,3,35,1
5,17,False,35,1,35,-1
5,18,False,35,1,36,-1
5,19,False,36,1,37,1
5,20,False,37,2,44,1
