key,state,action,q_value
1,0,0,-0.19
1,0,1,1.6589189172550731
1,0,2,-0.95
1,0,3,-0.19
1,1,0,0.0
1,1,1,1.6587903795108414
1,1,2,0.0
1,1,3,0.0
1,2,0,0.0
1,2,1,1.6576487613877307
1,2,2,0.0
1,2,3,0.0
1,3,0,0.0
1,3,1,0.0
1,3,2,1.6513116542076334
1,3,3,-0.19
1,4,0,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,5,0,0.0
1,5,1,0.0
1,5,2,0.0
1,5,3,0.0
1,6,0,0.0
1,6,1,0.0
1,6,2,0.0
1,6,3,0.0
1,7,0,0.0
1,7,1,0.0
1,7,2,0.0
1,7,3,0.0
1,8,0,0.0
1,8,1,0.0
1,8,2,0.0
1,8,3,0.0
1,9,0,0.0
1,9,1,0.0
1,9,2,0.0
1,9,3,0.0
1,10,0,0.0
1,10,1,0.0
1,10,2,0.0
1,10,3,0.0
1,11,0,0.0
1,11,1,0.0
1,11,2,0.0
1,11,3,0.0
1,12,0,0.0
1,12,1,0.0
1,12,2,0.0
1,12,3,0.0
1,13,0,0.0
1,13,1,0.0
1,13,2,0.0
1,13,3,0.0
1,14,0,0.0
1,14,1,1.6287911443217877
1,14,2,0.0
1,14,3,0.0
1,15,0,0.0
1,15,1,0.0
1,15,2,1.5786130087323615
1,15,3,0.0
1,16,0,0.0
1,16,1,0.0
1,16,2,0.0
1,16,3,0.0
1,17,0,0.0
1,17,1,0.0
1,17,2,0.0
1,17,3,0.0
1,18,0,0.0
1,18,1,0.0
1,18,2,0.0
1,18,3,0.0
1,19,0,0.0
1,19,1,0.0
1,19,2,0.0
1,19,3,0.0
1,20,0,0.0
1,20,1,0.0
1,20,2,0.0
1,20,3,0.0
1,21,0,0.0
1,21,1,0.0
1,21,2,0.0
1,21,3,0.0
1,22,0,0.0
1,22,1,0.0
1,22,2,0.0
1,22,3,0.0
1,23,0,0.0
1,23,1,0.0
1,23,2,0.0
1,23,3,0.0
1,24,0,0.0
1,24,1,0.0
1,24,2,0.0
1,24,3,0.0
1,25,0,0.0
1,25,1,0.0
1,25,2,0.0
1,25,3,0.0
1,26,0,-0.19
1,26,1,1.5130736788311283
1,26,2,0.0
1,26,3,0.0
1,27,0,0.0
1,27,1,1.465180885209551
1,27,2,-0.95
1,27,3,-0.19
1,28,0,0.0
1,28,1,0.0
1,28,2,1.4213849189726595
1,28,3,-0.19
1,29,0,0.0
1,29,1,0.0
1,29,2,0.0
1,29,3,0.0
1,30,0,0.0
1,30,1,0.0
1,30,2,0.0
1,30,3,0.0
1,31,0,0.0
1,31,1,0.0
1,31,2,0.0
1,31,3,0.0
1,32,0,0.0
1,32,1,0.0
1,32,2,0.0
1,32,3,0.0
1,33,0,0.0
1,33,1,0.0
1,33,2,0.0
1,33,3,0.0
1,34,0,0.0
1,34,1,0.0
1,34,2,0.0
1,34,3,0.0
1,35,0,0.0
1,35,1,0.0
1,35,2,0.0
1,35,3,0.0
1,36,0,0.0
1,36,1,0.0
1,36,2,0.0
1,36,3,0.0
1,37,0,0.0
1,37,1,0.0
1,37,2,0.0
1,37,3,0.0
1,38,0,0.0
1,38,1,0.0
1,38,2,0.0
1,38,3,0.0
1,39,0,0.0
1,39,1,0.0
1,39,2,1.334644252714842
1,39,3,0.0
1,40,0,-0.95
1,40,1,0.0
1,40,2,0.0
1,40,3,0.0
1,41,0,0.0
1,41,1,0.0
1,41,2,0.0
1,41,3,0.19
1,42,0,0.0
1,42,1,0.0
1,42,2,0.0
1,42,3,0.0
1,43,0,0.0
1,43,1,0.0
1,43,2,0.0
1,43,3,0.0
1,44,0,0.0
1,44,1,0.0
1,44,2,0.0
1,44,3,0.0
1,45,0,0.0
1,45,1,0.0
1,45,2,0.0
1,45,3,0.0
1,46,0,0.0
1,46,1,0.0
1,46,2,0.0
1,46,3,0.0
1,47,0,0.0
1,47,1,0.0
1,47,2,0.0
1,47,3,0.0
1,48,0,0.0
1,48,1,0.0
1,48,2,0.0
1,48,3,0.0
1,49,0,0.0
1,49,1,0.0
1,49,2,0.0
1,49,3,0.0
1,50,0,0.0
1,50,1,0.0
1,50,2,1.2353839209831532
1,50,3,0.0
1,51,0,0.0
1,51,1,-0.19
1,51,2,-0.167525584
1,51,3,-0.1209513856
1,52,0,0.19
1,52,1,0.0
1,52,2,0.0
1,52,3,-0.03609999999999999
1,53,0,0.0
1,53,1,0.0
1,53,2,0.0
1,53,3,-0.0014440000000000008
1,54,0,0.0
1,54,1,0.0
1,54,2,0.0
1,54,3,0.0
1,55,0,0.0
1,55,1,0.0
1,55,2,0.0
1,55,3,0.0
1,56,0,0.0
1,56,1,0.0
1,56,2,0.0
1,56,3,0.0
1,57,0,0.0
1,57,1,0.0
1,57,2,0.0
1,57,3,0.0
1,58,0,0.0
1,58,1,0.0
1,58,2,0.0
1,58,3,0.0
1,59,0,0.0
1,59,1,0.19
1,59,2,0.0
1,59,3,0.0
1,60,0,-0.95
1,60,1,0.0
1,60,2,0.0
1,60,3,0.0
1,61,0,0.0
1,61,1,1.1375344155441096
1,61,2,0.0
1,61,3,0.0
1,62,0,0.0
1,62,1,-0.09019585000000002
1,62,2,0.9861881758756483
1,62,3,0.0
1,63,0,-0.19
1,63,1,-0.0014440000000000008
1,63,2,-0.95
1,63,3,-0.19
1,64,0,-0.0014440000000000008
1,64,1,0.0
1,64,2,0.0
1,64,3,0.0
1,65,0,0.0
1,65,1,0.0
1,65,2,0.0
1,65,3,0.0
1,66,0,0.0
1,66,1,0.0
1,66,2,0.0
1,66,3,0.0
1,67,0,0.0
1,67,1,0.0
1,67,2,0.0
1,67,3,0.0
1,68,0,0.0
1,68,1,0.0
1,68,2,0.0
1,68,3,0.0
1,69,0,0.0
1,69,1,0.0
1,69,2,0.0
1,69,3,0.0
1,70,0,0.19
1,70,1,0.0
1,70,2,0.0
1,70,3,0.0
1,71,0,0.0
1,71,1,-0.134792103974656
1,71,2,0.0
1,71,3,0.19
1,72,0,0.0
1,72,1,-0.19
1,72,2,0.6134144099021399
1,72,3,0.0
1,73,0,-0.19
1,73,1,0.0
1,73,2,0.0
1,73,3,0.7923135120981922
1,74,0,0.0
1,74,1,0.0
1,74,2,0.0
1,74,3,0.0
1,75,0,0.0
1,75,1,0.0
1,75,2,0.0
1,75,3,0.0
1,76,0,0.0
1,76,1,0.0
1,76,2,0.0
1,76,3,0.0
1,77,0,0.0
1,77,1,0.0
1,77,2,0.0
1,77,3,0.0
1,78,0,0.0
1,78,1,0.0
1,78,2,0.0
1,78,3,0.0
1,79,0,0.0
1,79,1,0.0
1,79,2,0.0
1,79,3,0.0
1,80,0,0.0
1,80,1,0.0
1,80,2,0.0
1,80,3,0.0
1,81,0,0.0
1,81,1,0.0
1,81,2,0.0
1,81,3,0.0
1,82,0,-0.03609999999999999
1,82,1,-0.19
1,82,2,0.0
1,82,3,0.0
1,83,0,-0.19
1,83,1,0.55935772
1,83,2,-0.09019585000000002
1,83,3,-0.0014440000000000008
1,84,0,-0.1209513856
1,84,1,0.503215
1,84,2,0.0
1,84,3,-0.12727264
1,85,0,-0.95
1,85,1,0.378556
1,85,2,-0.19
1,85,3,-0.03609999999999999
1,86,0,0.0
1,86,1,0.0
1,86,2,0.378556
1,86,3,0.0
1,87,0,0.0
1,87,1,0.0
1,87,2,0.0
1,87,3,0.0
1,88,0,0.0
1,88,1,0.0
1,88,2,0.0
1,88,3,0.0
1,89,0,0.0
1,89,1,0.0
1,89,2,0.19
1,89,3,0.0
1,90,0,0.0
1,90,1,-0.19
1,90,2,0.0
1,90,3,0.19
1,91,0,0.0
1,91,1,0.0
1,91,2,0.0
1,91,3,0.19
1,92,0,0.0
1,92,1,0.0
1,92,2,0.0
1,92,3,0.0
1,93,0,0.0
1,93,1,0.0
1,93,2,0.0
1,93,3,0.0
1,94,0,-0.19
1,94,1,-0.0014440000000000008
1,94,2,0.19
1,94,3,-0.95
1,95,0,0.0
1,95,1,-0.0014440000000000008
1,95,2,0.0
1,95,3,0.0
1,96,0,-0.0014440000000000008
1,96,1,0.0
1,96,2,0.0
1,96,3,0.0
1,97,0,0.0
1,97,1,0.0
1,97,2,0.378556
1,97,3,0.0
1,98,0,0.0
1,98,1,0.0
1,98,2,0.0
1,98,3,0.0
1,99,0,0.0
1,99,1,0.0
1,99,2,0.0
1,99,3,0.0
1,100,0,-0.19
1,100,1,0.0
1,100,2,0.19
1,100,3,0.0
1,101,0,0.0
1,101,1,0.0
1,101,2,0.0
1,101,3,0.0
1,102,0,0.19
1,102,1,-0.155344
1,102,2,-0.19
1,102,3,0.0
1,103,0,0.0
1,103,1,0.0
1,103,2,-0.0014440000000000008
1,103,3,0.0
1,104,0,0.0
1,104,1,-0.19
1,104,2,0.0
1,104,3,0.19
1,105,0,0.0
1,105,1,0.0
1,105,2,0.0
1,105,3,0.19
1,106,0,0.0
1,106,1,0.0
1,106,2,0.0
1,106,3,0.0
1,107,0,0.0
1,107,1,0.0
1,107,2,0.0
1,107,3,0.0
1,108,0,-0.19
1,108,1,0.0
1,108,2,0.3439
1,108,3,0.0
1,109,0,0.0
1,109,1,0.0
1,109,2,0.0
1,109,3,0.0
1,110,0,0.0
1,110,1,0.0
1,110,2,0.0
1,110,3,0.0
1,111,0,-0.19
1,111,1,-0.95
1,111,2,0.0
1,111,3,0.0
1,112,0,0.0
1,112,1,0.0
1,112,2,0.0
1,112,3,0.0
1,113,0,-0.03609999999999999
1,113,1,0.0
1,113,2,0.0
1,113,3,0.0
1,114,0,-0.19
1,114,1,0.0
1,114,2,0.0
1,114,3,-0.0014440000000000008
1,115,0,0.0
1,115,1,0.0
1,115,2,0.0
1,115,3,0.0
1,116,0,0.0
1,116,1,0.0
1,116,2,0.0
1,116,3,0.0
1,117,0,0.0
1,117,1,0.0
1,117,2,0.0
1,117,3,0.0
1,118,0,0.0
1,118,1,0.0
1,118,2,0.0
1,118,3,0.0
1,119,0,0.0
1,119,1,19.0
1,119,2,0.0
1,119,3,-0.95
1,120,0,0.0
1,120,1,0.0
1,120,2,0.0
1,120,3,0.0
