key,state,action,q_value
1,0,0,0.0
1,0,1,0.0
1,0,2,0.55935772
1,0,3,-0.19
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,2,0,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,3,0,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,4,0,-0.19
1,4,1,0.0
1,4,2,0.433903
1,4,3,0.0
1,5,0,0.0
1,5,1,0.0
1,5,2,0.0
1,5,3,0.0
1,6,0,0.0
1,6,1,0.0
1,6,2,0.0
1,6,3,0.0
1,7,0,0.0
1,7,1,0.0
1,7,2,0.0
1,7,3,0.0
1,8,0,-0.378556
1,8,1,-0.95
1,8,2,0.0698085916
1,8,3,-0.378556
1,9,0,0.0
1,9,1,0.0
1,9,2,0.0
1,9,3,0.0
1,10,0,0.0
1,10,1,0.0
1,10,2,0.0
1,10,3,0.0
1,11,0,0.0
1,11,1,0.0
1,11,2,0.0
1,11,3,0.0
1,12,0,-0.155344
1,12,1,0.3439
1,12,2,-0.19
1,12,3,-0.76
1,13,0,-0.95
1,13,1,0.19
1,13,2,-0.76
1,13,3,0.0
1,14,0,0.0
1,14,1,19.0
1,14,2,0.0
1,14,3,0.0
1,15,0,0.0
1,15,1,0.0
1,15,2,0.0
1,15,3,0.0
