game,step,done,state,action,next_state,reward
0,0,False,0,0,0,-1
0,1,False,0,3,0,-1
0,2,False,0,2,18,1
0,3,False,18,0,18,-1
0,4,False,18,3,18,-1
0,5,False,18,2,36,1
0,6,False,36,0,36,-1
0,7,False,36,1,37,1
0,8,False,37,0,19,1
0,9,False,19,0,1,1
0,10,False,1,1,2,1
0,11,False,2,3,2,-1
0,12,False,2,0,2,-1
0,13,False,2,1,3,1
0,14,False,3,1,4,1
0,15,False,4,3,4,-1
0,16,False,4,0,4,-1
0,17,False,4,2,22,1
0,18,False,22,3,21,1
0,19,False,21,3,20,1
0,20,False,20,2,38,1
0,21,True,38,1,39,-5
1,0,False,0,2,18,1
1,1,False,18,2,36,1
1,2,False,36,1,37,1
1,3,False,37,0,19,1
1,4,False,19,0,1,1
1,5,False,1,1,2,1
1,6,False,2,1,3,1
1,7,False,3,1,4,1
1,8,False,4,2,22,1
1,9,False,22,3,21,1
1,10,False,21,3,20,1
1,11,False,20,2,38,1
1,12,False,38,2,56,1
1,13,True,56,3,55,-5
2,0,False,0,2,18,1
2,1,False,18,2,36,1
2,2,False,36,1,37,1
2,3,False,37,0,19,1
2,4,False,19,0,1,1
2,5,False,1,1,2,1
2,6,False,2,1,3,1
2,7,False,3,1,4,1
2,8,False,4,2,22,1
2,9,False,22,3,21,1
2,10,False,21,3,20,1
2,11,False,20,2,38,1
2,12,False,38,2,56,1
2,13,False,56,2,74,1
2,14,False,74,2,92,1
2,15,False,92,0,92,-1
2,16,False,92,2,110,1
2,17,False,110,1,111,1
2,18,True,111,1,112,-5
3,0,False,0,2,18,1
3,1,False,18,2,36,1
3,2,False,36,1,37,1
3,3,False,37,0,19,1
3,4,False,19,0,1,1
3,5,False,1,1,2,1
3,6,False,2,1,3,1
3,7,False,3,1,4,1
3,8,False,4,2,22,1
3,9,False,22,3,21,1
3,10,False,21,3,20,1
3,11,False,20,2,38,1
3,12,False,38,2,56,1
3,13,False,56,2,74,1
3,14,False,74,2,92,1
3,15,False,92,2,110,1
3,16,False,110,1,111,1
3,17,False,111,2,129,1
3,18,False,129,3,128,1
3,19,False,128,0,110,-1
3,20,False,110,1,111,-1
3,21,False,111,2,129,-1
3,22,False,129,3,128,-1
3,23,False,128,1,128,-1
3,24,False,128,3,127,1
3,25,False,127,1,127,-1
3,26,False,127,3,126,1
3,27,False,126,1,126,-1
3,28,False,126,2,144,1
3,29,False,144,3,144,-4
3,30,False,144,0,126,-1
3,31,False,126,2,126,-1
3,32,False,126,3,126,-1
3,33,True,126,0,108,-5
4,0,False,0,2,18,1
4,1,False,18,2,36,1
4,2,False,36,1,37,1
4,3,False,37,0,19,1
4,4,False,19,0,1,1
4,5,False,1,1,2,1
4,6,False,2,1,3,1
4,7,False,3,1,4,1
4,8,False,4,2,22,1
4,9,False,22,3,21,1
4,10,False,21,3,20,1
4,11,False,20,2,38,1
4,12,False,38,2,56,1
4,13,False,56,2,74,1
4,14,False,74,2,92,1
4,15,False,92,2,110,1
4,16,False,110,1,111,1
4,17,False,111,3,111,-1
4,18,False,111,0,93,1
4,19,False,93,0,75,1
4,20,False,75,1,76,1
4,21,False,76,3,76,-1
4,22,False,76,1,77,1
4,23,True,77,2,95,-5
5,0,False,0,2,18,1
5,1,False,18,2,36,1
5,2,False,36,1,37,1
5,3,False,37,0,19,1
5,4,False,19,0,1,1
5,5,False,1,1,2,1
5,6,False,2,1,3,1
5,7,False,3,1,4,1
5,8,False,4,2,22,1
5,9,False,22,3,21,1
5,10,False,21,3,20,1
5,11,False,20,2,38,1
5,12,False,38,2,56,1
5,13,False,56,2,74,1
5,14,False,74,2,92,1
5,15,False,92,2,110,1
5,16,False,110,1,111,1
5,17,False,111,0,93,1
5,18,False,93,0,75,1
5,19,False,75,1,76,1
5,20,False,76,1,77,1
5,21,False,77,1,78,1
5,22,False,78,2,96,1
5,23,True,96,2,114,-5
6,0,False,0,2,18,1
6,1,False,18,2,36,1
6,2,False,36,1,37,1
6,3,False,37,0,19,1
6,4,False,19,0,1,1
6,5,False,1,1,2,1
6,6,False,2,1,3,1
6,7,False,3,1,4,1
6,8,False,4,2,22,1
6,9,False,22,3,21,1
6,10,False,21,3,20,1
6,11,False,20,2,38,1
6,12,False,38,2,56,1
6,13,False,56,2,74,1
6,14,False,74,2,92,1
6,15,False,92,2,110,1
6,16,False,110,1,111,1
6,17,False,111,0,93,1
6,18,False,93,0,75,1
6,19,False,75,1,76,1
6,20,False,76,1,77,1
6,21,False,77,1,78,1
6,22,False,78,2,96,1
6,23,False,96,0,96,-1
6,24,True,96,1,97,-5
7,0,False,0,2,18,1
7,1,False,18,2,36,1
7,2,False,36,1,37,1
7,3,False,37,0,19,1
7,4,False,19,0,1,1
7,5,False,1,1,2,1
7,6,False,2,1,3,1
7,7,False,3,1,4,1
7,8,False,4,2,22,1
7,9,False,22,3,21,1
7,10,False,21,3,20,1
7,11,False,20,2,38,1
7,12,False,38,2,56,1
7,13,False,56,2,74,1
7,14,False,74,2,92,1
7,15,False,92,2,110,1
7,16,False,110,1,111,1
7,17,False,111,0,93,1
7,18,False,93,0,75,1
